test,base,strengthened,a100,h100,gh200
iriw_TB_013_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_013_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_013_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_013_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_013_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_23_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_2_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_01_2_3_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,not seen,not seen
iriw_TB_023_1_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_023_1_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_13_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_02_1_3_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_12_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_03_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_123_SCOPE_DEVICE_NO_FENCE_RELAXED,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_0_12_3_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_0_12_3_SCOPE_BLOCK_NO_FENCE_ACQUIRE,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_12_3_SCOPE_BLOCK_NO_FENCE_RELAXED,INSTANCE,INSTANCE,seen,seen,seen
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_1_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_THREAD_3_FENCE,INSTANCE,INSTANCE,seen,seen,not seen
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
iriw_TB_0_12_3_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_THREAD_1_FENCE,INSTANCE,INSTANCE,not seen,not seen,not seen
